x ,Kalmar_COM_Crane21_SPARE_INT6 ,Kalmar_COM_Crane21_SPARE_INT5 ,Kalmar_COM_Crane21_SPARE_INT4 ,Kalmar_COM_Crane21_SPARE_INT3 ,Kalmar_COM_Crane21_SPARE_INT2 ,Kalmar_COM_Crane21_SPARE_INT1 ,
Type ,INT ,INT ,INT ,INT ,INT ,INT ,
ScalingFactor ,1 ,1 ,1 ,1 ,1 ,1 ,
OffSet ,0 ,0 ,0 ,0 ,0 ,0 ,
Comment ,NA ,NA ,NA ,NA ,NA ,NA ,
2023-06-30 16:57:50.959,0,0,0,0,0,-45,
2023-06-30 16:57:51.512,0,0,0,0,0,31,
2023-06-30 16:57:52.174,0,0,0,0,0,99,
2023-06-30 16:57:52.727,0,0,0,0,0,81,
2023-06-30 16:57:53.389,0,0,0,0,0,-16,
2023-06-30 16:57:53.942,0,0,0,0,0,-81,
2023-06-30 16:57:54.494,0,0,0,0,0,-95,
2023-06-30 16:57:55.157,0,0,0,0,0,-16,
2023-06-30 16:57:55.709,0,0,0,0,0,59,
2023-06-30 16:57:56.372,0,0,0,0,0,99,
2023-06-30 16:57:56.924,0,0,0,0,0,59,
2023-06-30 16:57:57.587,0,0,0,0,0,-45,
2023-06-30 16:57:58.139,0,0,0,0,0,-95,
2023-06-30 16:57:58.691,0,0,0,0,0,-81,
2023-06-30 16:57:59.354,0,0,0,0,0,16,
2023-06-30 16:57:59.907,0,0,0,0,0,81,
2023-06-30 16:58:00.569,0,0,0,0,0,89,
2023-06-30 16:58:01.121,0,0,0,0,0,31,
2023-06-30 16:58:01.785,0,0,0,0,0,-71,
2023-06-30 16:58:02.337,0,0,0,0,0,-100,
2023-06-30 16:58:02.999,0,0,0,0,0,-45,
2023-06-30 16:58:03.552,0,0,0,0,0,31,
2023-06-30 16:58:04.104,0,0,0,0,0,95,
2023-06-30 16:58:04.767,0,0,0,0,0,71,
2023-06-30 16:58:05.319,0,0,0,0,0,0,
2023-06-30 16:58:05.982,0,0,0,0,0,-89,
2023-06-30 16:58:06.534,0,0,0,0,0,-95,
2023-06-30 16:58:07.197,0,0,0,0,0,-16,
2023-06-30 16:58:07.749,0,0,0,0,0,59,
2023-06-30 16:58:08.301,0,0,0,0,0,100,
2023-06-30 16:58:08.964,0,0,0,0,0,45,
2023-06-30 16:58:09.517,0,0,0,0,0,-31,
2023-06-30 16:58:10.18,0,0,0,0,0,-99,
2023-06-30 16:58:10.732,0,0,0,0,0,-81,
2023-06-30 16:58:11.395,0,0,0,0,0,16,
2023-06-30 16:58:11.947,0,0,0,0,0,81,
2023-06-30 16:58:12.499,0,0,0,0,0,95,
2023-06-30 16:58:13.162,0,0,0,0,0,16,
2023-06-30 16:58:13.715,0,0,0,0,0,-59,
2023-06-30 16:58:14.377,0,0,0,0,0,-99,
2023-06-30 16:58:14.929,0,0,0,0,0,-59,
2023-06-30 16:58:15.592,0,0,0,0,0,45,
2023-06-30 16:58:16.145,0,0,0,0,0,95,
2023-06-30 16:58:16.697,0,0,0,0,0,81,
2023-06-30 16:58:17.36,0,0,0,0,0,-16,
2023-06-30 16:58:17.912,0,0,0,0,0,-81,
2023-06-30 16:58:18.575,0,0,0,0,0,-89,
2023-06-30 16:58:19.127,0,0,0,0,0,-31,
2023-06-30 16:58:19.79,0,0,0,0,0,71,
